0.00000000e+00 9.98759675e-01
1.00000000e-01 9.99076994e-01
2.00000000e-01 9.99803942e-01
3.00000000e-01 9.99049586e-01
4.00000000e-01 9.98839118e-01
5.00000000e-01 1.00101632e+00
6.00000000e-01 1.00082831e+00
7.00000000e-01 1.00148394e+00
8.00000000e-01 1.00128869e+00
9.00000000e-01 9.98258779e-01


0.00000000e+00 1.01285751e+00
1.00000000e-01 1.01272129e+00
2.00000000e-01 1.01240923e+00
3.00000000e-01 1.01273306e+00
4.00000000e-01 1.01282340e+00
5.00000000e-01 1.01188879e+00
6.00000000e-01 1.01196949e+00
7.00000000e-01 1.01168805e+00
8.00000000e-01 1.01177186e+00
9.00000000e-01 1.01307253e+00


-4.29274669e-01 1.44159974e+00
