0.00000000e+00 9.99956456e-01
5.00000000e-02 9.97552728e-01
1.00000000e-01 9.94341695e-01
1.50000000e-01 9.90106191e-01
2.00000000e-01 9.86414438e-01
2.50000000e-01 9.92401285e-01
3.00000000e-01 9.89085748e-01
3.50000000e-01 9.94531433e-01
4.00000000e-01 9.89113396e-01
4.50000000e-01 9.97004213e-01
5.00000000e-01 9.95807525e-01
5.50000000e-01 1.00313302e+00
6.00000000e-01 9.97331215e-01
6.50000000e-01 9.99216299e-01
7.00000000e-01 9.94736701e-01
7.50000000e-01 9.94702900e-01
8.00000000e-01 9.95617372e-01
8.50000000e-01 1.00209200e+00
9.00000000e-01 9.92333901e-01
9.50000000e-01 1.00000910e+00
